domain,count
irqs.ioam.de,13
rtb0.doubleverify.com,6
s79.mxcdn.net,2
c.amazon-adsystem.com,23
adstax-cdn.adrtx.net,2
u.openx.net,13
googleads.g.doubleclick.net,55
b1sync.zemanta.com,12
buyer.dspx.tv,5
adservice.google.com,46
servedby.flashtalking.com,1
dmp.nativendo.de,6
static.emsservice.de,3
www.googletagservices.com,38
ad.360yield.com,17
ad.doubleclick.net,11
dsum-sec.casalemedia.com,29
securepubads.g.doubleclick.net,38
cdn.doubleverify.com,9
weblications.guj.de,2
orbidder.otto.de,23
bidder.criteo.com,23
te.technical-service.net,3
ups.analytics.yahoo.com,21
www.facebook.com,40
tpc.googlesyndication.com,34
eu-u.openx.net,17
cdn.opecloud.com,3
cs.emxdgt.com,7
s.amazon-adsystem.com,18
9861425.fls.doubleclick.net,1
red.vtracy.de,2
odr.mookie1.com,5
tps.doubleverify.com,7
acdn.adnxs.com,18
ib.adnxs.com,39
tagger.opecloud.com,2
fonts.googleapis.com,36
s385.mxcdn.net,6
us-u.openx.net,20
ads.revjet.com,5
adalliance.profiles.tagger.opecloud.com,2
mafo.adalliance.io,2
d9804c8dae90d35ddab55d14a2a672d8.safeframe.googlesyndication.com,1
js-sec.indexww.com,14
pixel.adsafeprotected.com,7
b38a0e06.de.ioam.de,1
gum.criteo.com,27
dpm.demdex.net,17
unpkg.com,10
pixel.quantserve.com,19
ups.xplosion.de,20
www.google-analytics.com,75
match.adsrvr.org,33
r.casalemedia.com,15
s.company-target.com,5
eus.rubiconproject.com,17
sync.mathtag.com,23
ads.pubmatic.com,19
pr-bh.ybp.yahoo.com,16
static.adsafeprotected.com,7
secure.flashtalking.com,1
connect.facebook.net,41
rtb.gumgum.com,5
secure.adnxs.com,23
ad.yieldlab.net,33
bls.adalliance.io,2
x.bidswitch.net,24
adservice.google.de,43
static.criteo.net,26
cdn.flashtalking.com,1
pre.ads.justpremium.com,8
c1.adform.net,26
media.admob.com,2
zipservice.adalliance.io,3
pagead2.googlesyndication.com,39
ssum-sec.casalemedia.com,19
native.emsservice.de,2
cm.g.doubleclick.net,42
tag.device9.com,1
dsp.adfarm1.adition.com,15
fonts.gstatic.com,36
aax-eu.amazon-adsystem.com,17
ad.turn.com,11
cdn.xplosion.de,16
www.google.com,78
dyn.emetriq.de,7
traffic.emsservice.de,3
rtbc-eu3.doubleverify.com,5
script.ioam.de,39
www.googletagmanager.com,86
csync.loopme.me,7
,15
vars.hotjar.com,7
ampcid.google.de,6
criteo-sync.teads.tv,4
a.twiago.com,5
stats.g.doubleclick.net,54
c.bing.com,12
img.sixt.com,1
www.google.de,56
web-api.orange.sixt.com,1
s.pinimg.com,10
eum-eu-west-1.instana.io,1
cdn3.optimizely.com,2
b.clarity.ms,8
visitor.omnitagjs.com,4
sync-t1.taboola.com,4
a8220014372.cdn.optimizely.com,1
script.hotjar.com,8
www.sixt.com,1
cdn.exactag.com,1
avsystem.sixt.io,1
cm.adform.net,4
www.googleadservices.com,29
sc-static.net,2
eb2.3lift.com,13
dis.criteo.com,16
cdn.stickyadstv.com,3
c.clarity.ms,7
jssdkcdns.mparticle.com,1
exchange.mediavine.com,4
cdn.sixt.io,1
tr.snapchat.com,1
ampcid.google.com,6
match.sharethrough.com,8
ads.stickyadstv.com,6
eum.instana.io,1
www.dwin1.com,8
ads.yahoo.com,10
ih.adscale.de,14
matching.ivitrack.com,3
9967644.fls.doubleclick.net,1
hst.tradedoubler.com,1
sync-criteo.ads.yieldmo.com,3
ct.pinterest.com,9
sslwidget.criteo.com,5
contextual.media.net,6
