domain,count
irqs.ioam.de,13
rtb0.doubleverify.com,6
s79.mxcdn.net,2
c.amazon-adsystem.com,21
adstax-cdn.adrtx.net,2
u.openx.net,13
googleads.g.doubleclick.net,44
b1sync.zemanta.com,12
buyer.dspx.tv,5
adservice.google.com,41
servedby.flashtalking.com,1
dmp.nativendo.de,6
static.emsservice.de,2
www.googletagservices.com,34
ad.360yield.com,17
ad.doubleclick.net,11
dsum-sec.casalemedia.com,26
securepubads.g.doubleclick.net,31
cdn.doubleverify.com,9
orbidder.otto.de,23
bidder.criteo.com,23
te.technical-service.net,3
ups.analytics.yahoo.com,21
www.facebook.com,36
tpc.googlesyndication.com,31
eu-u.openx.net,16
cdn.opecloud.com,3
cs.emxdgt.com,7
s.amazon-adsystem.com,18
9861425.fls.doubleclick.net,1
red.vtracy.de,2
odr.mookie1.com,4
tps.doubleverify.com,7
acdn.adnxs.com,18
ib.adnxs.com,37
s385.mxcdn.net,6
us-u.openx.net,20
ads.revjet.com,5
adalliance.profiles.tagger.opecloud.com,2
mafo.adalliance.io,2
d9804c8dae90d35ddab55d14a2a672d8.safeframe.googlesyndication.com,1
js-sec.indexww.com,14
pixel.adsafeprotected.com,7
b38a0e06.de.ioam.de,1
gum.criteo.com,27
dpm.demdex.net,15
unpkg.com,4
pixel.quantserve.com,19
ups.xplosion.de,18
www.google-analytics.com,49
match.adsrvr.org,32
r.casalemedia.com,15
s.company-target.com,5
eus.rubiconproject.com,17
sync.mathtag.com,23
ads.pubmatic.com,18
pr-bh.ybp.yahoo.com,16
static.adsafeprotected.com,7
secure.flashtalking.com,1
connect.facebook.net,36
rtb.gumgum.com,5
secure.adnxs.com,22
ad.yieldlab.net,31
bls.adalliance.io,2
x.bidswitch.net,24
adservice.google.de,39
static.criteo.net,23
cdn.flashtalking.com,1
pre.ads.justpremium.com,8
c1.adform.net,26
media.admob.com,2
zipservice.adalliance.io,3
pagead2.googlesyndication.com,30
ssum-sec.casalemedia.com,17
native.emsservice.de,2
cm.g.doubleclick.net,38
tag.device9.com,1
dsp.adfarm1.adition.com,15
aax-eu.amazon-adsystem.com,17
cdn.xplosion.de,14
ad.turn.com,11
www.google.com,59
dyn.emetriq.de,6
traffic.emsservice.de,3
rtbc-eu3.doubleverify.com,5
script.ioam.de,25
tagger.opecloud.com,2
csync.loopme.me,7
vars.hotjar.com,6
,8
ampcid.google.de,4
criteo-sync.teads.tv,4
a.twiago.com,4
stats.g.doubleclick.net,44
c.bing.com,10
www.google.de,49
s.pinimg.com,8
b.clarity.ms,5
visitor.omnitagjs.com,4
sync-t1.taboola.com,4
script.hotjar.com,7
cdn.exactag.com,1
avsystem.sixt.io,1
cm.adform.net,4
www.googleadservices.com,25
sc-static.net,2
eb2.3lift.com,13
dis.criteo.com,16
cdn.stickyadstv.com,3
jssdkcdns.mparticle.com,1
exchange.mediavine.com,4
tr.snapchat.com,1
ampcid.google.com,4
match.sharethrough.com,8
ads.stickyadstv.com,6
www.dwin1.com,7
ads.yahoo.com,10
ih.adscale.de,12
matching.ivitrack.com,3
9967644.fls.doubleclick.net,1
hst.tradedoubler.com,1
sync-criteo.ads.yieldmo.com,3
ct.pinterest.com,8
sslwidget.criteo.com,5
contextual.media.net,6
uct.service.usercentrics.eu,3
static.hotjar.com,7
t.contentsquare.net,2
graphql.usercentrics.eu,3
imagesrv.adition.com,10
www.clarity.ms,6
10356724.fls.doubleclick.net,1
sync.outbrain.com,6
bat.bing.com,17
m.exactag.com,5
tags.tiqcdn.com,2
cotads.adscale.de,3
pixel.rubiconproject.com,15
